date,latitude,longitude,temperature,salinity
2024-01-15,35.2,-75.4,18.5,35.2
2024-01-16,36.1,-74.8,19.2,35.1
2024-01-17,34.8,-76.1,17.9,35.4
2024-01-18,35.7,-75.2,18.8,35.0
2024-01-19,34.5,-75.9,16.5,35.6
2024-01-20,36.3,-74.5,20.1,34.8
2024-01-21,35.0,-75.7,18.1,35.3
2024-01-22,35.9,-74.9,19.5,35.2
2024-01-23,34.7,-76.0,17.2,35.5
2024-01-24,36.0,-75.1,19.8,34.9
2024-01-25,35.4,-75.5,18.7,35.1
2024-01-26,34.9,-75.8,17.6,35.4
2024-01-27,36.2,-74.7,20.3,34.7
2024-01-28,35.1,-75.6,18.3,35.2
2024-01-29,35.8,-75.0,19.1,35.0
